,0
group_17179,0.0
group_17168,0.0
group_1718,0.0
group_17180,0.0
group_17181,0.0
group_17182,0.0
group_17183,0.0
group_17184,0.0
group_17185,0.0
group_17186,0.0
group_17169,0.0
group_17167,0.0
group_17148,0.0
group_17156,0.0
group_17149,0.0
group_1715,0.0
group_17150,0.0
group_17151,0.0
group_17152,0.0
group_17153,0.0
group_17154,0.0
group_17155,0.0
group_17157,0.0
group_17166,0.0
group_17158,0.0
group_17159,0.0
group_17160,0.0
group_17161,0.0
group_17162,0.0
group_17163,0.0
group_17164,0.0
group_17165,0.0
group_16942,0.0
group_16940,0.0
group_16598,0.0
group_1694,0.0
group_16708,0.0
group_16709,0.0
group_1671,0.0
group_16710,0.0
group_16711,0.0
group_16712,0.0
group_16713,0.0
group_16714,0.0
group_16715,0.0
group_16716,0.0
group_16717,0.0
group_16718,0.0
group_16719,0.0
group_1672,0.0
group_16720,0.0
group_16721,0.0
group_16722,0.0
group_16723,0.0
group_16724,0.0
group_16707,0.0
group_16706,0.0
group_16705,0.0
group_16694,0.0
group_16687,0.0
group_16688,0.0
group_16689,0.0
group_1669,0.0
group_16690,0.0
group_16691,0.0
group_16692,0.0
group_16693,0.0
group_16695,0.0
group_16703,0.0
group_16696,0.0
group_16697,0.0
group_16698,0.0
group_16699,0.0
group_167,0.0
group_16700,0.0
group_16701,0.0
group_16702,0.0
group_16725,0.0
group_16726,0.0
group_16727,0.0
group_16760,0.0
group_16753,0.0
group_16754,0.0
group_16755,0.0
group_16756,0.0
group_16757,0.0
group_16758,0.0
group_16759,0.0
group_1676,0.0
group_16761,0.0
group_16751,0.0
group_16762,0.0
group_16763,0.0
group_16764,0.0
group_16765,0.0
group_16766,0.0
group_16767,0.0
group_16768,0.0
group_16769,0.0
group_16752,0.0
group_16748,0.0
group_16728,0.0
group_16736,0.0
group_16729,0.0
group_1673,0.0
group_16730,0.0
group_16731,0.0
group_16732,0.0
group_16733,0.0
group_16734,0.0
group_16735,0.0
group_16737,0.0
group_16746,0.0
group_16738,0.0
group_16739,0.0
group_1674,0.0
group_16741,0.0
group_16742,0.0
group_16743,0.0
group_16744,0.0
group_16745,0.0
group_16686,0.0
group_16685,0.0
group_16684,0.0
group_1663,0.0
group_16620,0.0
group_16621,0.0
group_16623,0.0
group_16624,0.0
group_16625,0.0
group_16626,0.0
group_16627,0.0
group_16629,0.0
group_16630,0.0
group_16618,0.0
group_16631,0.0
group_16632,0.0
group_16633,0.0
group_16634,0.0
group_16635,0.0
group_16636,0.0
group_16637,0.0
group_16638,0.0
group_16619,0.0
group_16617,0.0
group_16640,0.0
group_16606,0.0
group_16599,0.0
group_166,0.0
group_1660,0.0
group_16600,0.0
group_16601,0.0
group_16603,0.0
group_16604,0.0
group_16605,0.0
group_16607,0.0
group_16616,0.0
group_16608,0.0
group_16609,0.0
group_1661,0.0
group_16610,0.0
group_16611,0.0
group_16612,0.0
group_16613,0.0
group_16614,0.0
group_16639,0.0
group_16641,0.0
group_16683,0.0
group_16673,0.0
group_16665,0.0
group_16666,0.0
group_16667,0.0
group_16668,0.0
group_16669,0.0
group_16670,0.0
group_16671,0.0
group_16672,0.0
group_16674,0.0
group_16663,0.0
group_16675,0.0
group_16676,0.0
group_16677,0.0
group_16678,0.0
group_16679,0.0
group_1668,0.0
group_16680,0.0
